;Name;Genre;City;Status
4266;Merkava;Heavy/Power Metal;Bagé, Rio Grande do Sul;Split-up
4267;Mesemon Ecrof;Death Metal;Mandaguaçu, Paraná;Split-up
4268;Mesocranio;Brutal Death Metal;Juazeiro do Norte, Ceará;Active
4269;Messiah Fell;Gothic/Black Metal;Camaragibe, Pernambuco;Split-up
4270;Messianic Cry;Death Metal/Hardcore;São Paulo, São Paulo;Active
4271;Mestiça Vulgar;Thrash Metal;;Active
4272;Metabolica;Thrash Metal;Paulo Afonso, Bahia;Active
4273;Metacrose;"Brutal Death Metal (early); Progressive Death Metal (later)";João Pessoa, Paraíba;Active
4274;Metáfora;Thrash/Death Metal;Nossa Senhora do Socorro, Sergipe;Split-up
4275;Metal Aggressor;Heavy Metal;Taquara, Rio Grande do Sul;Active
4276;Metal Bards;Heavy Metal;São Paulo, São Paulo;Active
4277;Metal Brain;Thrash Metal;João Pessoa, Paraíba;Split-up
4278;Metal Comando;Heavy Metal;Campina Grande, Paraíba;Active
4279;Metal Dynasty;Thrash Metal;Natal, Rio Grande do Norte;Active
4280;Metal Health;Heavy Metal;São Paulo, São Paulo;Split-up
4281;Metal Infect;Thrash/Groove/Heavy Metal;Fortaleza, Ceará;Unknown
4282;Metal Jam;Progressive Metal;Santos, São Paulo;Unknown
4283;Metal Milícia;Heavy Metal;São José do Egito, Pernambuco;Unknown
4284;Metal Pesado;Heavy Metal;Niterói, Rio de Janeiro;Active
4285;Metal Pesado;Heavy Metal;Curitiba, Paraná;Split-up
4286;Metal Warhead;Heavy/Thrash Metal;Porto Alegre, Rio Grande do Sul;Active
4287;Metal Wizard;Heavy/Power Metal;Paulo Afonso, Bahia;Unknown
4288;Metalder;Heavy/Power Metal;Santa Maria da Vitória, Bahia;Unknown
4289;Metalfoca;Thrash/Death Metal/Metalcore;Curitiba, Paraná;Changed name
4290;MetalFúria;Heavy Metal;Campina Grande, Paraíba;Active
4291;Metalholic;Heavy Metal;São Luís, Maranhão;Split-up
4292;Metalizer;Thrash Metal;Nova Odessa, São Paulo;Active
4293;Metalliance;Heavy/Thrash Metal;Pinhais/Curitiba, Paraná;Active
4294;Metallic Crucifixion;Thrash/Speed Metal;Atibaia, São Paulo;Split-up
4295;Metallstein;Death/Groove Metal;Santos, São Paulo;Active
4296;MetalMad DC;Heavy/Thrash Metal/Crossover;Mogi Mirim / Mogi Guaçú / São Paulo, São Paulo;Active
4297;Metalmorphose;Heavy Metal;Rio de Janeiro, Rio de Janeiro;On hold
4298;Metalphobia;Thrash Metal;Afogados da Ingazeira, Pernambuco;Active
4299;MetalSatan;Thrash Metal;Feira de Santana, Bahia;Unknown
4300;Metaltex;Heavy/Power/Speed Metal;São Paulo, São Paulo;Split-up
4301;Metalthorn;Thrash Metal;Volta Redonda, Rio de Janeiro;Active
4302;MetalWar;Heavy Metal;Feira de Santana, Bahia;Active
4303;Metano;Heavy Metal;Rio de Janeiro, Rio de Janeiro;Split-up
4304;Metatron;Heavy Metal;Joinville, Santa Catarina;Split-up
4305;Metauro;Thrash Metal;Taubaté, São Paulo;Active
4306;Methademic;Progressive Metal;Belém, Pará;Active
4307;Methodic;Thrash/Death Metal;Orleans, Santa Catarina;Split-up
4308;Metraliator;Blackened Thrash Metal;Belo Horizonte, Minas Gerais;Split-up
4309;Metralion;Thrash Metal;Rio de Janeiro, Rio de Janeiro;Active
4310;Metranks;Death/Thrash/Black Metal;São Paulo, São Paulo;Split-up
4311;Mettalder;Thrash/Speed Metal;Mogi Guaçu, São Paulo;Active
4312;Metzger;Black/Thrash Metal;Bento Gonçalves, Rio Grande do Sul;Split-up
4313;Mewer;Speed Metal;Ribeirão Pires, São Paulo;Split-up
4314;Mezzula;Death/Thrash Metal;Brasília, Distrito Federal;Split-up
4315;Mhirage;Heavy/Thrash Metal;São Paulo, São Paulo;Split-up
4316;Miasfier;Death Metal;Caruaru, Pernambuco;Active
4317;Miasthenia;Melodic Pagan Black Metal;Brasília, Distrito Federal;Active
4318;Microphonia;Thrash Metal;São Paulo, São Paulo;Split-up
4319;Mictian;Doom Metal;Vitória da Conquista, Bahia;Active
4320;Midgard;Epic Doom Metal;Bauru, São Paulo;Active
4321;Midian;Heavy Metal;Cordeiro, Rio de Janeiro;Split-up
4322;Midnight Necrotomb;Death/Black Metal;Cruz das Almas, Bahia;Active
4323;Midnightmare;Brutal Death Metal;Santo André, São Paulo;Split-up
4324;Might Execution;Thrash/Death Metal;São Paulo, São Paulo;Unknown
4325;Mighty;Black Metal;Caxias do Sul, Rio Grande do Sul;Active
4326;Mighty Goat Obscenity;Black Metal;São Paulo, São Paulo;Active
4327;Militia;Thrash Metal;Sao Paulo;Active
4328;Millenium;Atmospheric Black Metal;Santa Bárbara d'Oeste, São Paulo;Active
4329;Millenium;Melodic Heavy Metal;São Paulo, São Paulo;Unknown
4330;Minato no Nezumi;Sludge Metal;Santos, São Paulo;Unknown
4331;Minatory;Death/Thrash Metal;Curitiba, Paraná;Split-up
4332;Mind Killer;Death Metal;Belo Horizonte, Minas Gerais;Unknown
4333;Mind Slave;Power/Thrash Metal;São Paulo;Split-up
4334;Mindcrafter;Progressive Metal;Rio de Janeiro, Rio de Janeiro;Active
4335;Mindflow;Progressive Metal;São Paulo, São Paulo;Active
4336;Mindfreak;Progressive Power Metal;;Split-up
4337;Mindmaze;Death/Thrash Metal;;Split-up
4338;Minds of Madness;Heavy Metal;Santo André, São Paulo;Split-up
4339;Minefield;Heavy Metal;São Paulo, São Paulo;Split-up
4340;Miners;Stoner Metal;Belo Horizonte, Minas Gerais;Active
4341;Minimum Age to Faint;Death Metal/Grindcore;São Sepé, Rio Grande do Sul;Active
4342;Ministério da Discórdia;Heavy/Thrash Metal;São Paulo, São Paulo;Active
4343;Ministerium;Progressive Metal;Sabará, São Paulo;Changed name
4344;Minotauro;Speed Metal;São Paulo, São Paulo;Active
4345;Minothaurus;Power/Thrash Metal;Feira de Santana, Bahia;Active
4346;Minstrel;Heavy Metal;;Unknown
4347;Minus Blindness;Thrash/Groove Metal/Metalcore;Salvador, Bahia;On hold
4348;Minus One;Progressive Metal;Uberlândia, Minas Gerais;Active
4349;Mioma;Metalcore;Minas Gerais;Active
4350;Miracle;Power Metal;Curitiba, Paraná;Unknown
4351;Miraculum;Power Metal;Rio Grande, Rio Grande do Sul;Split-up
4352;Mirahklet;Folk Metal;São Paulo, São Paulo;Active
4353;Mircalla;Symphonic Black Metal;Lavras, Minas Gerais;Split-up
4354;Mirror of God;Metalcore;Taguatinga, Federal District;Active
4355;Miryade;Heavy/Power Metal;Manaus, Amazonas;Unknown
4356;Misannthrophie;Raw Black Metal;Embu Guaçu, São Paulo;Active
4357;Misanthropic;Raw Black Metal;Vitória, Espírito Santo;Active
4358;Misanthropic Triumph;Black Metal;São Paulo, São Paulo;Split-up
4359;Misanthropic Winter;Black Metal;Torres, Rio Grande do Sul;Active
4360;Misanthropy;Death/Gothic Metal;Santarém, Pará;Changed name
4361;Misantropiae;Pagan Black Metal, Ambient;São Paulo, São Paulo;Active
4362;Misbehaviour;Heavy Metal;Dourados, Mato Grosso do Sul;Active
4363;Misbeliever;Symphonic Black Metal;Governador Valadares, Minas Gerais;Active
4364;Misdeed;Black Metal;Florianópolis, Santa Catarina;Split-up
4365;Misplaced;Thrash Metal;Curitiba, Paraná;Split-up
4366;Missão Metal;Heavy Metal;Londrina, Paraná;Changed name
4367;Missão Metálica;Heavy Metal;Salvador, Bahia;Active
4368;Missas Negras;Black Metal;Campo Grande, Mato Grosso do Sul;Active
4369;Mist of Eternity;Melodic Black Metal;Teresina, Piauí;Unknown
4370;Mistery;Thrash/Death Metal;Orlândia, São Paulo;Split-up
4371;Mistetaret;Black Metal/Ambient;Ceará;Active
4372;Mistreated;Melodic Heavy Metal/Hard Rock;Pelotas, Rio Grande do Sul;Active
4373;Mistrust;Heavy Metal;Rio de Janeiro, Rio de Janeiro;On hold
4374;Mistwrath;Black Metal;Erecha, Rio Grande do Sul;Active
4375;Mithra;Black Metal;São Paulo, São Paulo;Changed name
4376;Mithrubick;Brutal Death Metal/Grindcore;Passo Fundo, Rio Grande do Sul;Active
4377;Mitra;Heavy Metal;Belém, Pará;Active
4378;Mitrium;Melodic Heavy/Power Metal;Santos, São Paulo;Split-up
4379;Mitsein;Symphonic Metal;Brasília, Distrito Federal;Active
4380;Mizmor 6.66;Black/Death Metal;Curitiba, Paraná;Active
4381;Mob Ape;Crossover;;Split-up
4382;Modorra;Experimental Death Metal;Igrejinha, Rio Grande do Sul;Split-up
4383;Mofo;Thrash Metal;Brasília, Distrito Federal;Active
4384;Mohria;Melodic Heavy Metal;Bom Despacho, Minas Gerais;Active
4385;Mohros;Power/Thrash Metal;São José dos Campos, São Paulo;Split-up
4386;Moisés Missão;Heavy Metal/Shred;Itu, São Paulo;Active
4387;Mojica;Stoner/Sludge Metal;Olinda, Pernambuco;Active
4388;Molested God;Death Metal;Teresina, Piauí;Active
4389;Molitium;Heavy/Progressive Metal;Laguna, Santa Catarina;Active
4390;Moloch;Black Metal;Recife, Pernambuco;Active
4391;Moments of Gore;Death Metal;São Vicente, São Paulo;Split-up
4392;Monasterium;Death/Doom/Gothic Metal;Teresina, Piauí;Split-up
4393;Monge;Black Metal/Grindcore;Fortaleza, Ceará;Unknown
4394;Monge Negro;Power/Thrash Metal;São Paulo, São Paulo;Split-up
4395;Monolito;Progressive Groove Metal/Hard Rock;;Active
4396;Monolito Project;Progressive Heavy/Gothic Metal;São Paulo;Active
4397;Monophobia;Depressive Black Metal;São Paulo, São Paulo;Active
4398;Monster;Heavy Metal;São Paulo, São Paulo;Split-up
4399;Monster Coyote;Stoner/Sludge Metal;Mossoró, Rio Grande do Norte;Split-up
4400;Monster Mash;Thrash Metal;Brasília, Distrito Federal;Active
4401;Monster Truck;Thrash Metal;Florianópolis, Santa Catarina;Changed name
4402;Monstractor;Southern/Thrash Metal;Resende, Rio de Janeiro;Active
4403;Monstrath;Death Metal;São Paulo, São Paulo;Active
4404;Montanha;"Heavy Metal/Hard Rock (early); Stoner Rock (later)";Santo André;Active
4405;Monte Cerrado;Power Metal;;Active
4406;Monte Resina;Stoner Metal;Florianópolis, Santa Catarina;Active
4407;Montosse;Depressive Black Metal;Recife, Pernambuco;Split-up
4408;Moonlight Scream;"Death/Black Metal (early); Post-Black Metal (later)";Belém, Pará;Changed name
4409;Moonmath;Gothic/Doom Metal;Alegrete, Rio Grande do Sul;Active
4410;Moonrise Orphan;Black Metal;Espírito Santo;Split-up
4411;Morality's Asylum;Heavy/Progressive Metal;;Active
4412;Morbad;Thrash Metal;Bauru, São Paulo;Active
4413;Morbhius;Death Metal;Santos, São Paulo;Active
4414;Morbid Abyss;Black Metal;;Active
4415;Morbid Butcher;Death/Black Metal;Colatina, Espírito Santo;Split-up
4416;Morbid Death;Death Metal;Petrópolis, Rio de Janeiro;Split-up
4417;Morbid Desecration;Black/Death Metal;Guarulhos, São Paulo;Active
4418;Morbid Devourment;Death/Thrash Metal;Brasília, Distrito Federal;Active
4419;Morbid Garden;Symphonic/Melodic Death Metal;Natal, Rio Grande do Norte;Active
4420;Morbid Impeller;Thrash/Death/Black Metal;Sete Lagoas, Minas Gerais;Split-up
4421;Morbid Metal;Death Metal;Guarulhos, São Paulo;Split-up
4422;Morbid Noise;Death Metal/Grindcore;São José do Rio Preto, São Paulo;Split-up
4423;Morbid Perversion;Black/Death Metal;Salvador, Bahia;Active
4424;Morbid Prelude;Atmospheric Pagan Metal;Governador Valadares, Minas Gerais;Split-up
4425;Morbid Prophecy;Melodic Black/Death Metal;Belo Horizonte, Minas Gerais;Active
4426;Morbid Symphony;Symphonic Black Metal;Rio de Janeiro, Rio de Janeiro;Active
4427;Morbid Visions;Thrash Metal;São Paulo, São Paulo;Split-up
4428;Morbid Whisper;Death Metal;Parnaíba, Piauí;Active
4429;Mórbida Escuridão;Black Metal;Bragança/Tracuateua, Pará;Active
4430;Morbidade;Death Metal;Cuiabá, Mato Grosso;Active
4431;Morbidead;"Brutal Death Metal (Early); Doom/Death Metal (Later)";Belém, Pará;Active
4432;Morbideath;Thrash Metal;Boituva, São Paulo;Changed name
4433;Morbideath;Grindcore;São Paulo, São Paulo;Changed name
4434;Morbidesires;Death/Gothic Metal;Rio de Janeiro, Rio de Janeiro;Unknown
4435;Mörbidez;Black/Thrash/Speed Metal;Vitória, Espírito Santo;Active
4436;Morbidoom;Black Metal;Varginha, Minas Gerais;Active
4437;MorbiDreams;Death/Doom Metal;Salvador, Bahia;Active
