;Name;Genre;City;Status
1650;Devouring;Death Metal;Simões Filho, Bahia;Active
1651;Devouring Cadavers;Death Metal;Caçapava, São Paulo;Active
1652;Devouring Virgins;Death Metal;Teresina, Piauí;Unknown
1653;Dextra Sinister;Power Metal;Brasília, Distrito Federal;Active
1654;Dfront SA;Death/Groove Metal;Volta Redonda, Rio de Janeiro;Active
1655;Dhark Death;Thrash/Death Metal;Planaltina, Distrito Federal;Active
1656;Dharma 101;Heavy Metal/Hard Rock;Jundiaí, São Paulo;Active
1657;Dhuend;Death Metal;Londrina, Paraná;Active
1658;Dhumavati;Psychedelic Stoner/Doom Metal;Vitoria, Espírito Santo;Active
1659;Diabállein;Black Metal;Monte Alto, São Paulo;Active
1660;Diablerie;Death/Thrash Metal;Rio de Janeiro, Rio de Janeiro;Split-up
1661;Diablerie;Black Metal;São Paulo, São Paulo;Split-up
1662;Diablerie Progenie;Black Metal;São Leopoldo, Rio Grande do Sul;Split-up
1663;Diablero;Black Metal/Ambient;Praia do Hermenegildo / Santa Vitória do Palmar, Rio Grande do Sul;Active
1664;Diabo;Black Metal;;Active
1665;Diaboli Imperium;Symphonic Black Metal;São Paulo, São Paulo;Active
1666;Diabolic Circle;Raw Black Metal;Paulínia, São Paulo;Unknown
1667;Diabolic Empire;Black Metal;Santa Maria da Vitória, Bahia;Unknown
1668;Diabolic Force;Blackened Thrash Metal;Rio de Janeiro, Rio de Janeiro;Active
1669;Diabolical Archangel;Atmospheric Black Metal/Dungeon Synth;Santa Catarina;Active
1670;Diabolical Darkness Dissemination;Raw Black Metal;Florianópolis, Santa Catarina;Split-up
1671;Diabolical Evil;Black/Speed Metal;Araripina, Pernambuco;Active
1672;Diabolical Funeral;Black Metal;Joinville, Santa Catarina;Active
1673;Diabolical Hate;Death Metal;Campo Grande, Mato Grosso do Sul;Active
1674;Diabolical Mind;"Black Metal (early); Death Metal (later)";"Teófilo Otoni, Minas Gerais (early); São Paulo, São Paulo (later)";Changed name
1675;Diabolical Possession;Death Metal;Pindamonhangaba, São Paulo;Active
1676;Diabolical Torture;Raw Black Metal;Colatina, Espírito Santo;Active
1677;Diabolical Tyrants;Black Metal;Uberlândia, Minas Gerais;Active
1678;Diabolichaos;Black Metal;Varginha, Minas Gerais;Active
1679;Diabolis Vobiscum;Black Metal;Juiz de Fora, Minas Gerais;Split-up
1680;Diabolism;Black Metal;Salvador-Ba;Active
1681;Diabolos Obscenos;Black Metal;Americana, São Paulo;Active
1682;Diagnose;Grindcore/Death Metal;Fortaleza, Ceará;Active
1683;Diamond;Melodic Heavy Metal;São Paulo, São Paulo;Unknown
1684;Diamond Dogs;Heavy Metal;Uberlândia, Minas Gerais;Split-up
1685;Diatort;Death/Thrash Metal;Passos, Minas Gerais;Split-up
1686;Diatribe;Black Metal;São Paulo, São Paulo;Changed name
1687;Diavok;Death Metal;Porto Feliz, São Paulo;Split-up
1688;Dicephalus;Death Metal/Goregrind;Indaiatuba, São Paulo;Active
1689;Die for a Reason;Heavy/Groove Metal;São Paulo, São Paulo;Active
1690;Die Human Race;Death/Black Metal/Grindcore;Cuiabá, Mato Grosso;Active
1691;Die Lying;Thrash Metal;Curitiba, Paraná;Unknown
1692;Dies Irae;Raw Black/Death Metal;São Paulo, São Paulo;Split-up
1693;Dies Irae;Death Metal;Caxias do Sul, Rio Grande do Sul;Split-up
1694;Dieseldörf;Black Metal;São Paulo, São Paulo;Active
1695;Difamator;Black Metal;São Paulo, São Paulo;Split-up
1696;Difuntor;Death Metal;Belo Horizonte, Minas Gerais;Active
1697;Dignatários do Inferno;Thrash/Stoner Metal;Juiz de Fora, Minas Gerais;Active
1698;Dilacerate Christ;Death Metal;Maioba, Maranhão;Active
1699;Dimensões Distorcidas;Thrash Metal;Salvador, Bahia;Active
1700;Dimolasyus;Power Metal;Criciúma, Santa Catarina;Split-up
1701;Dinasthia;Black Metal;Goiânia, Goiás;Active
1702;Dinnamarque;Heavy/Power Metal;Belo Horizonte, Minas Gerais;Active
1703;Dino Crissis;Black/Death Metal;Salvador, Bahia;Unknown
1704;Diorese;Death Metal/Goregrind;Cuiabá, Mato Grosso;Active
1705;Dioxina;Thrash Metal/Crossover;São Paulo, São Paulo;Split-up
1706;Dipnoi;Thrash Metal;São Paulo, São Paulo;Split-up
1707;Diprosopia;Experimental Death Metal;Rio Grande do Sul;Active
1708;Dirty Grave;Doom Metal;"Orlândia, São Paulo (early); Belo Horizonte, Minas Gerais (later)";Active
1709;DirtyFall;Death Metal;Brasília, Distrito Federal;Active
1710;Disaffection;Thrash Metal;Goiânia, Goiás;Active
1711;Disaster Rex;Black/Post-Metal;;Active
1712;Disciples;Thrash/Death Metal;São Paulo, São Paulo;Changed name
1713;Discordia;Death Metal;São Paulo, São Paulo;Split-up
1714;Discórdia Profana;Black Metal;Brasília, Distrito Federal;Active
1715;Discordiam;Heavy/Thrash Metal;Campinas, São Paulo;Split-up
1716;Discrëntë;Black/Death Metal/Crust;Vitória, Espírito Santo;Active
1717;Discurso de Pobre;Grindcore;São Paulo, São Paulo;Active
1718;Disease;Thrash Metal;Belo Horizonte, Minas Gerais;Split-up
1719;Disenteria;Crossover/Thrash Metal;Santos, São Paulo;Active
1720;Disfigured by Hatred;Death Metal;Rio de Janeiro, Rio de Janeiro;Unknown
1721;Disformes;Death Metal;Teresina, Piauí;Active
1722;Disforterror;Death Metal;Alterosa, Minas Gerais;Active
1723;Disgrace;Death Metal/Grindcore;São Paulo, São Paulo;Split-up
1724;Disgrace;Thrash Metal;Brasília, Distrito Federal;Active
1725;Disgrace and Terror;"Thrash Metal (early); Death/Thrash Metal (later)";Belém, Pará;Active
1726;Disgrace Suicide;Grindcore/Death Metal;Belém, Pará;Active
1727;Disgracelator;Death Metal/Grindcore;Contagem, Minas Gerais;Split-up
1728;Disgracer;Black/Thrash Metal;São Paulo, São Paulo;Active
1729;Disharmonic Fields;Power Metal;Curitiba, Paraná;Unknown
1730;Disharmonic Noise;Grindcore/Death Metal;Guarulhos, São Paulo;Active
1731;Disharmonical Tempest;Doom/Death Metal;Campo Grande, Mato Grosso do Sul;Split-up
1732;Disharmonious;Death Metal;São Paulo, São Paulo;Active
1733;Disharmony Intent;Death Metal;Guarapari, Espírito Santo;Split-up
1734;Dislike Blast;Death Metal;Porto Alegre, Rio Grande do Sul;Split-up
1735;Dismal;Heavy/Gothic Metal;Eunápolis, Bahia;Split-up
1736;Dismal Abyss;Black Metal;Contagem, Minas Gerais;Active
1737;Dismal Foresight;Brutal Death Metal;Maringá, Paraná;Active
1738;Dismal Gale;Black Metal;São Paulo, São Paulo;Active
1739;Dismal Wistful;Atmospheric Black Metal;Parobé, Rio Grande do Sul;Active
1740;Dismembration;Death/Groove Metal;Viamão / Gravataí, Rio Grande do Sul;Active
1741;DisnneyHell;Grindcore/Death Metal;Capivari, São Paulo;Active
1742;Disorder of Rage;Death/Thrash Metal with Hardcore influences;Mogi Guaçu, São Paulo;Active
1743;Dispar;Atmospheric Black/Post-Metal;Parobé, Rio Grande do Sul;Active
1744;Dispepsiaa;Grindcore;São Paulo, São Paulo;Split-up
1745;Disritmia;Death Metal;Santa Rosa de Viterbo, São Paulo;Split-up
1746;Disrupt Christ;Black Metal;Salvador, Bahia;Active
1747;Disrupted Inc.;Metalcore;Porto Alegre, Rio Grande do Sul;Unknown
1748;Disrupting;Brutal Death Metal;São Paulo, São Paulo;Active
1749;Disruption Path;Death Metal;Porto Ferreira, São Paulo;Active
1750;Dissector;Black/Death Metal;Pelotas, Rio Grande do Sul;Split-up
1751;Dissidium;Death Metal;João Pessoa, Paraíba;Active
1752;Distarnish;Doom/Death Metal;Vitória, Espírito Santo;Split-up
1753;Distiphyxia;Depressive Black/Doom Metal;;Split-up
1754;Distort;Thrash Metal;São Paulo, São Paulo;Active
1755;Distorted Duo;Heavy Metal;São Paulo, São Paulo;Active
1756;Distortion;Thrash Metal;Resende, Rio de Janeiro;Split-up
1757;Distorttion;Gothic Metal;Belém, Pará;Split-up
1758;Distraught;Thrash Metal;Porto Alegre, Rio Grande do Sul;Active
1759;Distress;Death Metal;Areia, Paraíba;Active
1760;Distressed;Death/Thrash Metal;Tubarão, Santa Catarina;Active
1761;Distrocer;Thrash Metal;Divinópolis, Minas Gerais;Split-up
1762;Disturbance;Thrash Metal;Votuporanga, São Paulo;Split-up
1763;Disturbed Souls;Death Metal;Recife, Pernambuco;Active
1764;Distürbia Cladis;Blackened Speed Metal/Punk;São Paulo, São Paulo;Changed name
1765;Disturbing Flesh;Death Metal;Natal, Rio Grande do Norte;Active
1766;Disturbing Shit Minds;Thrash Metal;São Paulo, São Paulo;Split-up
1767;Diva;Death/Thrash Metal;Rio de Janeiro, Rio de Janeiro;Split-up
1768;Divine Death;Death Metal;Belo Horizonte, Minas Gerais;Active
1769;Divine in Flesh;Death/Groove Metal;Belo Horizonte, Minas Gerais;Active
1770;Divine Pain;Death Metal;Salvador, Bahia;Active
1771;Divine Plague;Death Metal;Barra Mansa, Rio de Janeiro;Active
1772;Divine Storm;Death Metal;Imperatriz, Maranhão;Changed name
1773;Divine Symphony;Symphonic Black Metal;Manaus, Amazonas;Active
1774;Divine Uncertainty;Melodic Death Metal;São Paulo, São Paulo;Active
1775;Divine Wings;Power Metal;São Paulo, São Paulo;Active
1776;Divinus Imperium;Power/Progressive Metal;Recife, Pernambuco;Split-up
1777;Division Hell;Death Metal;Curitiba, Paraná;Split-up
1778;Divulsor;Brutal Death Metal;Curitiba, Paraná;Active
1779;Dixie Heaven;Power Metal;Duque de Caxias, Rio de Janeiro;Active
1780;Dizeres Profanos R.I.M.;Black Metal;São Salvador da Bahia, Bahia;Unknown
1781;Djhin;Progressive Metal;Recife, Pernambuco;Active
1782;DNA;Heavy/Power Metal;Belém, Pará;Active
1783;Docnargath;Doom/Death Metal;Santa Bárbara d'Oeste, São Paulo;Unknown
1784;Doctor Phantom;Heavy/Power Metal;;Split-up
1785;Dogma - Saint Tread of Hate;Extreme Gothic Metal;;Split-up
1786;Dogma Blue;Heavy Metal;Curitiba, Paraná;Split-up
1787;Dogma Satan;Black Metal;Brasília, Distrito Federal;Split-up
1788;Dol Guldur;Black Metal;;Unknown
1789;Dolorem;Post-Black/Doom Metal;João Pessoa, Paraíba;Active
1790;Dom Lodo;Stoner/Doom Metal;Pernambuco;Active
1791;Dom Sathanas;Black/Groove Metal;Sertãozinho, Sâo Paulo;Active
1792;Domained;Death Metal;Bauru, São Paulo;Unknown
1793;Domination;Death Metal;Atibaia, São Paulo;Split-up
1794;Domination Bleed;Death Metal;Belo Horizonte, Minas Gerais;Unknown
1795;Dominattion;Thrash Metal;Nova Friburgo, Rio de Janeiro;Split-up
1796;Domínio da Escuridão;Black Metal;Mato Grosso do Sul;Unknown
1797;Dominion;Black Metal;São Paulo, São Paulo;Split-up
1798;Dominni;Thrash Metal;Pernambuco;Active
1799;Dominus Praelii;Heavy/Power Metal;Londrina, Paraná;Active
1800;Domminus Infernalium;Black Metal;Manaus, Amazonas;Active
1801;Domminvs Infernalis;Black Metal;Salvador, Bahia;Active
1802;Domnation;Thrash/Death Metal;Itu, São Paulo;Split-up
1803;Donzela;Heavy Metal/Hard Rock;Fortaleza, Ceará;Active
1804;Doom Castle;Black Metal;Joinville, Santa Catarina;Active
1805;Doomed Society;Death Metal;Londrina, Paraná;On hold
1806;Doomed Spirits;Black/Death/Doom Metal;João Pessoa, Paraíba;Active
1807;Doomonic;Heavy Metal;Jundiaí, São Paulo;Split-up
1808;Doomsday Ceremony;"Doom/Heavy Metal (early); Black Metal (later)";Curitiba, Paraná;Active
1809;Doomslang;Doom/Stoner Metal;Jundiaí, São Paulo;Active
1810;Dooren;Symphonic Metal;Rio de Janeiro, Rio de Janeiro;Active
1811;Dor;Blackened Punk/Sludge Metal;São Paulo, São Paulo;Active
1812;Dör Pröfana;Black Metal;Rio de Janeiro, Rio de Janeiro;Active
1813;Dorsal Atlântica;Speed Metal, Thrash Metal, Hardcore/Crossover;Rio de Janeiro, Rio de Janeiro;Active
1814;Dorsus;Thrash/Speed Metal;Matinhos, Paraná;Split-up
1815;Dose Lethal;Power Metal;Fortaleza, Ceará;Unknown
1816;Double Cross;Heavy Metal;Belo Horizonte, Minas Gerais;Active
1817;Douglas Marcchett;Heavy Metal/Hard Rock;Farroupilha, Rio Grande do Sul;Unknown
1818;Down to Burzum;Black Metal;Sorocaba, São Paulo;Unknown
1819;Doykod;Thrash Metal;Salvador, Bahia;Active
1820;Dr. Jekil;Heavy Metal;Jacareí, São Paulo;Split-up
1821;Dr. Sin;Melodic Heavy Metal/Hard Rock;São Paulo, São Paulo;Active
1822;Dr. Stein;Heavy/Thrash Metal;Belém, Pará;Split-up
1823;Drace XII;Symphonic Power/Progressive Metal;São Paulo, São Paulo;Active
1824;Dracma;Melodic Power Metal;São Paulo, São Paulo;Unknown
1825;Dracma Fierce;Heavy Metal;Arujá, São Paulo;Split-up
1826;Draco Ignis Luciferi;Black Metal;Botucatu, São Paulo;Active
1827;Draconi;Melodic Heavy Metal;Salvador, Bahia;Unknown
1828;Dragojiniak;Black Metal;;Active
1829;Dragon Ring;Heavy Metal;Piedade, São Paulo;Active
1830;Dragon's Cry;Power Metal;Tubarão, Santa Catarina;Split-up
1831;Dragonheart;Power Metal;Curitiba, Paraná;Active
1832;Dragoons;Power/Progressive Metal;Cascavel, Paraná;Unknown
1833;Drahg;Raw Black Metal/Punk;Belo Horizonte, Minas Gerais;Active
1834;Drahktar;Progressive Power Metal;Porto Alegre, Rio Grande do Sul;Active
1835;Drakland;Melodic Death/Groove/Thrash Metal;Goiânia, Goiás;Active
1836;Drakonian Age;Pagan Black Metal;Capivari de Baixo, Santa Catarina;Active
1837;Draped Urn;Black/Death Metal;;Active
1838;Drast;Black Metal/Dungeon Synth;;Active
1839;Drastyca;Melodic Death Metal;Cruz das Almas, Bahia;Active
1840;Draugurz;Black Metal;Joinville, Santa Catarina;Split-up
1841;Dreadful;Thrash Metal;São Paulo, São Paulo;Split-up
1842;Dreadful Deathreign;Death Metal;João Monlevade, Minas Gerais;Active
1843;Dreadnox;Melodic Heavy Metal;Rio de Janeiro, Rio de Janeiro;Active
1844;Dream Healer;Power Metal;Rio Branco, Acre;Split-up
1845;Dream Wild;Heavy Metal;Votorantim, São Paulo;Active
1846;Dreamline;Doom/Progressive Metal;São Paulo, São Paulo;Split-up
1847;Dreams of December;Post-Black Metal;Minas Gerais;Active
1848;Dreamstate;Power/Speed Metal;Limeira, São Paulo;Active
1849;Drearylands;Power Metal;Salvador, Bahia;Split-up
1850;Drill Pipe Hell;Thrash Metal/Crossover;João Pessoa, Paraíba;Active
1851;Drink from Hell;Heavy Metal;;Active
1852;Drizzle Experience;Doom/Stoner Metal;Santa Maria, Rio Grande do Sul;Active
1853;Drowned;Death/Thrash Metal;Belo Horizonte, Minas Gerais;Active
1854;Drowned;Depressive Black Metal;Rio Grande do Sul/Brasília, Distrito Federal;Active
1855;Drowning in Sorrow;Depressive Black Metal;Belo Horizonte, Minas Gerais;Active
1856;Drowning Negativism;Depressive Black Metal;São Paulo, São Paulo;Split-up
1857;Druid;Pagan/Folk/Death Metal;São Paulo;Changed name
1858;Druidess;Gothic/Doom Metal;São Paulo, São Paulo;Active
1859;Drunk Vision;Progressive/Death Metal;Capão da Canoa, Rio Grande do Sul;Active
1860;Dry Clamour;Heavy Metal;Curitiba, Paraná;Active
1861;Du-Hart;Heavy Metal;Sorocaba, São Paulo;Active
1862;Duemd;Death Metal;;Active
1863;Duldra;Death Metal;Lucas do Rio Verde, Mato Grosso;Active
1864;Dumblegore;Doom/Stoner Metal;Vitória da Conquista, Bahia;Active
1865;Dunamys;Melodic Heavy Metal;Joinville, Santa Catarina;Split-up
1866;Dungeon;Thrash Metal;Brasília, Distrito Federal;Split-up
1867;Dunkell Reiter;Thrash Metal;Contagem, Minas Gerais;Active
1868;Durst;Black/Doom Metal;Rio de Janeiro, Rio de Janeiro;Split-up
1869;Dusk;Melodic Death Metal;São Paulo, São Paulo;Active
1870;Dust from Misery;Folk/Groove Metal;Rio de Janeiro, Rio de Janeiro;Split-up
1871;Dying Embers;Death/Doom Metal;Ponta Grossa, Paraná;Split-up
1872;Dying Embrace;Melodic Death/Doom Metal;São Paulo, São Paulo;Active
1873;Dying Kingdom;Heavy Metal;Brasília, Distrito Federal;Active
1874;Dying Order;Thrash Metal;Cuiabá, Mato Grosso;Active
1875;Dying Silence;Progressive Groove Metal;Campinas, São Paulo;Changed name
1876;Dying Suffocation;Death/Doom Metal;Pato Branco, Paraná;Active
1877;DyingBreed;Death Metal;São Leopoldo, Rio Grande do Sul;Active
1878;Dyluvian;Melodic Progressive Heavy Metal;Recife, Pernambuco;Unknown
1879;Dynahead;Progressive Thrash Metal;Brasília, Distrito Federal;Active
1880;Dynamite;Heavy Metal/Hard Rock;Fortaleza, Ceará;Changed name
1881;Dynamo;Thrash Metal;Juiz de Fora, Minas Gerais;Unknown
1882;Dynamon Dark;Black Metal;São Paulo, São Paulo;Unknown
1883;DynamoWar;Heavy/Power Metal;Rio de Janeiro, Rio de Janeiro;Unknown
1884;Dynamus;Thrash/Death Metal/Hardcore;Salvador, Bahia;Active
1885;Dynasty of Metal;Power Metal;Nova Lima, Minas Gerais;Active
1886;Dysasther;Thrash/Death Metal;Carazinho, Rio Grande do Sul;Active
1887;Dysnomia;Thrash/Death Metal;São Carlos, São Paulo;Split-up
1888;Dystopya;Progressive Metal;Rio Grande do Norte;Active
1889;Earthquake;Death Metal;Poá, São Paulo;Active
1890;Ebheron;Symphonic Black Metal;Santa Catarina;Active
1891;Ébrio;Death/Thrash Metal;Formosa, Goiás;Active
1892;Ecce Hommo;Black Metal;Ponta Grossa, Paraná;Active
1893;Ecclesia;Power Metal;Recife, Pernambuco;Unknown
1894;Echetos;Black Metal;Belo Horizonte, Minas Gerais;Unknown
1895;Echidna;Black Metal;Rio de Janeiro, Rio de Janeiro;Unknown
1896;Echo of Silence;Progressive Heavy Metal/Hard Rock;São Paulo, São Paulo;Active
1897;Echoes;Raw Black Metal;Ribeirão das Neves, Minas Gerais;Active
1898;Echoes of Death;Death Metal;Caucaia, Ceará;Active
1899;Echoes of Madness;Progressive Heavy Metal;São Paulo, São Paulo;Active
1900;Echoriath;Black Metal;Jaboatão dos Guararapes, Pernambuco;Active
1901;Eclipse;Power Metal;Criciúma, Santa Catarina;Split-up
1902;Eclipse;Heavy Metal/Hard Rock;;Split-up
1903;Eclipsed;Melodic Death/Groove Metal;Teresina, Piauí;Active
1904;Ecliptyka;Melodic Death/Power Metal;Jundiaí, São Paulo;Split-up
1905;Ecos Póstumos;Depressive Black Metal;Arapongas, Paraná;Active
1906;Edelweiss;Heavy Metal;São Paulo, São Paulo;Split-up
1907;Eden Seed;Heavy/Thrash Metal;São Paulo, São Paulo;Unknown
1908;Edge of Paradise;Progressive Metal;São Paulo, São Paulo;Changed name
1909;Edhen;Black Metal;São Paulo, São Paulo;Active
1910;Edificador;Black Metal;Valença, Rio de Janerio;Active
1911;Edu Falaschi;Power/Progressive Metal;São Paulo, São Paulo;Active
1912;Efeito Letal;Thrash Metal;ABC Paulista, São Paulo;Split-up
1913;Efeito Nocivo;Heavy Metal;Curitiba, Paraná;Unknown
1914;Éfeso;Power Metal;Recife, Pernambuco;Split-up
1915;Efezus;Thrash Metal;Salvador, Bahia;Unknown
1916;Effigies Mundus;Black Metal;Aracaju, Sergipe;Active
1917;Efrata;Progressive/Power Metal;Curitiba, Paraná;Unknown
1918;Ego Absence;Power Metal;São Paulo, São Paulo;Active
1919;Egocentric Molecules;Thrash Metal;Rio de Janeiro, Rio de Janeiro;Active
1920;Egomorte;Blackened Death Metal/Crust Punk;Maceió, Alagoas;Active
1921;Egregora;Melodic Death Metal;João Pessoa, Paraíba;Active
1922;Egregore;Funeral Doom Metal;Curitiba, Paraná;Active
1923;Egregorean;Melodic Heavy Metal;Jaú, São Paulo;Active
1924;Eigenflame;Symphonic Power Metal;;Active
1925;Eighteenth Angel;Death Metal;Cuiabá, Mato Grosso;Active
1926;Eisensturm;Black Metal;São Paulo, São Paulo;Active
1927;Ekphora;Thrash/Groove Metal;São Paulo, São Paulo;Active
1928;El Fuego;Death Metal/Grindcore;São Paulo, São Paulo;Changed name
1929;El Santo;Heavy Metal;Curitiba, Paraná;Unknown
1930;El Santo Asesino;Death Metal/Grindcore;São Paulo, São Paulo;Active
1931;Eldermoon;Blackened Heavy Metal;Curitiba, Paraná;Active
1932;Eldritch Whispers;Atmospheric Black Metal;São Paulo, São Paulo;Active
1933;Electric Age;Hard Rock/Heavy Metal;São Paulo, São Paulo;Active
1934;Electric Poison;Heavy/Speed Metal;Salvador, Bahia;Active
1935;Electric Sky;Heavy Metal/Hard Rock;Sao José dos Campos, São Paulo / Vitória, Espírito Santo;Active
1936;Elektra;Thrash Metal;Porto Alegre, Rio Grande do Sul;Split-up
1937;Elemental;Progressive Metal;Rio de Janeiro, Rio de Janeiro;Active
1938;Elephantus;Stoner/Doom Metal;Blumenau, Santa Catarina;Active
1939;Elettra;Thrash Metal;São Paulo, São Paulo;Split-up
1940;Elevare;Gothic Metal;Juiz de Fora, Minas Gerais;Split-up
1941;Eleven Strings;Progressive Metal;Mogi das Cruzes, São Paulo;Unknown
1942;Elf Blend;Heavy Metal;Monte Carmelo, Minas Gerais;Active
1943;Eligos;Death/Black Metal;Brasília, Distrito Federal;Active
1944;Elizabethan Walpurga;Heavy/Black Metal;Recife, Pernambuco;Active
1945;Elma;Progressive/Sludge Metal;São Paulo, São Paulo;Active
1946;Em Chamas;Thrash/Groove Metal;Guaçuí, Espírito Santo;Active
1947;Em Ruínas;Speed Metal;São Paulo, São Paulo;Active
1948;Embalmed;Death/Doom Metal;Passo Fundo, Rio Grande do Sul;Split-up
1949;Embalmed Alive;Brutal Death Metal;Sete Lagoas, Minas Gerais;Active
1950;Embalmed Souls;Death Metal;Brasília, Distrito Federal;Active
1951;Embalsamado;Black/Doom Metal;Niterói, Rio de Janeiro;Active
1952;Embrace the Devil;Black/Death Metal;Campo Grande, Mato Grosso do Sul;Active
1953;Embrio;Thrash Metal;Cascavel, Paraná;Active
1954;Embryonica;Death Metal;Recife, Pernambuco;On hold
1955;Emeritus;Black Metal;Erechim, Rio Grande do Sul;Active
1956;Emesis;Death Metal;Jundiaí, São Paulo;Active
1957;Eminence;Death/Thrash/Groove Metal;Belo Horizonte, Minas Gerais;Active
1958;Eminent Shadow;Death Metal;Brasília, Distrito Federal;Active
1959;Empalador Bestial;Black Metal;Piauí;Active
1960;Empd Sayno;Black/Death Metal;Minas Gerais;Active
1961;Empire Night;Black Metal;Campina Grande, Paraíba;Active
1962;Empire of Darkness;Black Metal;Dois Irmãos, Rio Grande do Sul;Split-up
1963;Empire of Shadows;Black Metal;Recife, Pernambuco;Active
1964;Empire of Souls;Black Metal;Santos, São Paulo;Active
1965;Emptiness;Death/Thrash Metal;Cascavel, Paraná;Split-up
1966;Empty Book;Gothic Metal;Recife, Pernambuco;Split-up
1967;Empty Cross;Thrash Metal;Salvador, Bahia;Unknown
1968;Empty Grace;"Death/Black Metal (early); Death Metal (later)";Teresina, Piauí;Active
1969;Empty of Darkness;Black Metal;Macapá, Amapá;Active
1970;Empürios;Progressive Metal;Niterói, Rio de Janeiro;Split-up
1971;Empusa;Raw Black Metal;Campinas, São Paulo;Split-up
1972;Emuthry;Black/Death Metal;Porto Alegre, Rio Grande do Sul;Active
1973;En Fandens Ridder;Symphonic Black Metal;Cascavel, Paraná;Split-up
1974;Enarmonika;Symphonic Metal;Florianópolis, Santa Catarina;Split-up
1975;Encantarya;Gothic/Doom Metal;Belém, Pará;Active
1976;Encéfalo;Thrash/Death Metal;Fortaleza, Ceará;Active
1977;Encephalo Swarm;Brutal Death Metal/Grindcore;Recife, Pernambuco;Split-up
1978;Encruzilhada;Death Metal;Goiânia, Goiás;Split-up
1979;Endless;Progressive/Power Metal;Rio de Janeiro, Rio de Janeiro;Active
1980;Endless;Progressive Metal;Belém, Pará;Split-up
1981;Endless Brutality;Thrash Metal;Assú, Rio Grande do Norte;Active
1982;Endless Carnage;Death/Black Metal;São Paulo, São Paulo;Split-up
1983;Endless Fear;Progressive/Thrash Metal;Guaporé, Rio Grande do Sul;Active
1984;Endless Hate;Death/Thrash Metal;Rio Grande, Rio Grande do Sul;Split-up
1985;Endless Solitude;Depressive Black Metal;Macapá, Amapá;Active
1986;Endless Solitude;Gothic Metal;Natal, Rio Grande do Norte;Active
1987;Endless War;Black Metal;Santo André, São Paulo;Split-up
1988;Endoscopyc Hemorrhage;Death Metal;Panambi, Rio Grande do Sul;Active
1989;Endrah;Death Metal/Hardcore;São Paulo, São Paulo;Active
1990;Endtime;Gothic/Doom Metal;Lages, Santa Catarina;Split-up
1991;Endust;Progressive Metal;Jundiaí, São Paulo;Active
1992;Enema;Brutal Death Metal;Rio de Janeiro, Rio de Janeiro;Split-up
1993;Enemy Cross;Death/Thrash Metal;Casimiro de Abreu, Rio de Janeiro,;Active
1994;Enforcation;Death Metal;Sorocaba, São Paulo;Active
1995;Enforced Nicotine Addiction;Death Metal;São Paulo;Active
1996;Enforcer;Heavy/Power Metal;Campinas, São Paulo;Split-up
1997;Enforcer;Heavy Metal;Criciúma, Santa Catarina;Split-up
1998;Engines of Torture;Death Metal;Rio de Janeiro, Rio de Janeiro;Unknown
1999;Engradado;Heavy Metal/Hard Rock;Belo Horizonte, Minas Gerais;Unknown
2000;Engrave;Heavy/Power Metal;São Paulo, São Paulo;Split-up
2001;Eniggma;Symphonic Power Metal;São Paulo, São Paulo;Unknown
2002;Enigma;Heavy Metal;São Luis, Maranhão;Split-up
2003;Enigma Ex Machina;Extreme Progressive Metal;São Paulo, São Paulo;On hold
2004;Enigma Garden;Progressive Metal;Chapecó, Santa Catarina;Active
2005;Enorion;Symphonic Power Metal;Tatuí, São Paulo;Active
2006;Enrapt;Melodic Death Metal;Aracaju, Sergipe;Split-up
2007;Ensemble;Thrash/Death Metal;Campo Limpo Paulista, São Paulo;Split-up
2008;Ensimesmamento;Depressive/Post-Black Metal;Rio de Janeiro, Rio de Janeiro / Recife, Pernanbuco;Split-up
2009;Enslavement of Satan;Black Metal;Salvador, Bahia;Split-up
2010;Enslaver;Thrash Metal;"Manaus, Amazonas (early); Maringá, Paraná (later)";Active
2011;Entardecer;Atmospheric/Depressive Black Metal;Recife, Pernambuco;Active
2012;Enterro;Black Metal;Rio de Janeiro, Rio de Janeiro;Active
2013;Entherror;Black/Thrash Metal;São Borja, Rio Grande do Sul;Active
2014;Enthorned;Black Metal;Mogi das Cruzes, São Paulo;Unknown
2015;Enthropy;Black Metal;"Canela, Rio Grande do Sul (early); Turin, Piedmont, Italy (later)";Active
2016;Entidade;Thrash Metal;Taubaté, São Paulo;Split-up
2017;Entrails;Death Metal;Curitiba, Paraná;Split-up
2018;Entrepunhos;Thrash Metal/Crossover;Vila Amorim/Americana, São Paulo;Unknown
2019;Entrevero Cardinal;Death Metal;Pelotas, Rio Grande do Sul;Split-up
2020;Entumbus;Black Metal;São José dos Campos, São Paulo;Active
2021;Envoke;Black/Death Metal;Fortaleza, Ceará;Active
2022;Envoutement;Black Metal;Santa Maria, Rio Grande do Sul;Split-up
2023;Enxöfre;Blackened Heavy Metal;São Paulo;Active
2024;Enxofre;Black/Death Metal;Belo Horizonte, Minas Gerais;Active
2025;Ephemmerus;Black Metal;"Olinda, Pernambuco (early); Porto, Portugal (later)";Active
2026;Epidemic;Thrash Metal;Manaus, Amazonas;Active
2027;Epidemic;Thrash Metal;Curitiba, Paraná;Split-up
2028;Epidemic;Thrash Metal/Crossover;Fortaleza, Ceará;Active
2029;Epidemic Fear;Death Metal;São Paulo, São Paulo;Unknown
